clean_name,full_name,first_name,surname,affiliation,homepage,scholar,middle_name
Gahgene Gweon,Gahgene Gweon,Gahgene,Gweon,Seoul National University,http://cclab.snu.ac.kr,l4hK4eEAAAAJ,\N
Gaia Maselli,Gaia Maselli,Gaia,Maselli,Sapienza University of Rome,https://sites.google.com/a/uniroma1.it/gaiamaselli-eng,-KL6m2AAAAAJ,\N
Gaia Novarino,Gaia Novarino,Gaia,Novarino,IST Austria,https://ist.ac.at/research/research-groups/novarino-group,S7ZK_zYAAAAJ,\N
Gail C. Murphy,Gail C. Murphy,Gail,Murphy,University of British Columbia,http://www.cs.ubc.ca/~murphy,EGA1deoAAAAJ,C.
Gail E. Kaiser,Gail E. Kaiser,Gail,Kaiser,Columbia University,http://www.cs.columbia.edu/~kaiser,LIdVlPsAAAAJ,E.
Gail Hopkins,Gail Hopkins,Gail,Hopkins,University of Nottingham,https://www.nottingham.ac.uk/computerscience/people/gail.hopkins,NOSCHOLARPAGE,\N
Gail Reynard,Gail Reynard,Gail,Reynard,University of Nottingham,https://www.nottingham.ac.uk/computerscience/people/gail.hopkins,NOSCHOLARPAGE,\N
Gail Teresa Reynard,Gail Teresa Reynard,Gail,Reynard,University of Nottingham,https://www.nottingham.ac.uk/computerscience/people/gail.hopkins,NOSCHOLARPAGE,Teresa
Gail-Joon Ahn,Gail-Joon Ahn,Gail-Joon,Ahn,Arizona State University,http://www.public.asu.edu/~gahn1,_dzO69sAAAAJ,\N
Gajendra P. S. Raghava,Gajendra P. S. Raghava,Gajendra,Raghava,IIIT Delhi,http://webs.iiitd.edu.in/raghava,XK5GUiYAAAAJ,P. S.
Gal A. Kaminka,Gal A. Kaminka,Gal,Kaminka,Bar-Ilan University,http://u.cs.biu.ac.il/~galk,AyzlRJwAAAAJ,A.
Gal Chechik,Gal Chechik,Gal,Chechik,Bar-Ilan University,https://chechiklab.biu.ac.il,Wk2gAZUAAAAJ,\N
Gal Mishne,Gal Mishne,Gal,Mishne,Univ. of California - San Diego,https://datascience.ucsd.edu/people/gal-mishne,KrwpdXYAAAAJ,\N
Gala Yadgar,Gala Yadgar,Gala,Yadgar,Technion,https://gala.cswp.cs.technion.ac.il,5-HxJSEAAAAJ,\N
Ganapati Bhat,Ganapati Bhat,Ganapati,Bhat,Washington State University,https://www.public.asu.edu/~gmbhat,MVnzUKEAAAAJ,\N
Ganesh Bagler,Ganesh Bagler,Ganesh,Bagler,IIIT Delhi,http://faculty.iiitd.ac.in/~bagler,qyth_0QAAAAJ,\N
Ganesh Gopalakrishnan,Ganesh Gopalakrishnan,Ganesh,Gopalakrishnan,University of Utah,https://www.cs.utah.edu/~ganesh,uvoOgnwAAAAJ,\N
Ganesh Ramakrishnan,Ganesh Ramakrishnan,Ganesh,Ramakrishnan,IIT Bombay,https://www.cse.iitb.ac.in/~ganesh,W1ZpREMAAAAJ,\N
Gang Chen,Gang Chen 0001,Gang,Chen,Zhejiang University,http://mypage.zju.edu.cn/0098112,NOSCHOLARPAGE,\N
Gang Chen,Gang Chen 0002,Gang,Chen,Victoria University of Wellington,https://ecs.victoria.ac.nz/Main/AaronChen,YLB6tnwAAAAJ,\N
Gang Feng,Gang Feng 0004,Gang,Feng,UESTC,http://en.uestc.edu.cn/index.php?m=content&c=index&a=show&catid=79&id=533,7pT4YiUAAAAJ,\N
Gang Huang,Gang Huang 0001,Gang,Huang,Peking University,http://sei.pku.edu.cn/~huanggang/index_en.htm,5FxmC14AAAAJ,\N
Gang Pan,Gang Pan 0001,Gang,Pan,Zhejiang University,http://www.cs.zju.edu.cn/~gpan,NWqnXNEAAAAJ,\N
Gang Qu,Gang Qu 0001,Gang,Qu,University of Maryland - College Park,https://ece.umd.edu/~gangqu,NtYVK_MAAAAJ,\N
Gang Tan,Gang Tan,Gang,Tan,Pennsylvania State University,http://www.cse.psu.edu/~gxt29,JP0dqTEAAAAJ,\N
Gang Wang,Gang Wang 0011,Gang,Wang,Univ. of Illinois at Urbana-Champaign,http://people.cs.vt.edu/gangwang,-DfTtxgAAAAJ,\N
Gang Wu,Gang Wu 0008,Gang,Wu,Shanghai Jiao Tong University,http://www.se.sjtu.edu.cn/teacher/teacherdetail.aspx?id=18,NOSCHOLARPAGE,\N
Gang Yang,Gang Yang 0001,Gang,Yang,Renmin University of China,http://info.ruc.edu.cn/academic_professor.php?teacher_id=54,3cuQzxkAAAAJ,\N
Gang Zeng,Gang Zeng,Gang,Zeng,Peking University,http://www.cis.pku.edu.cn/faculty/vision/zeng,RuHyY6gAAAAJ,\N
Gang Zhou,Gang Zhou,Gang,Zhou,College of William and Mary,http://www.cs.wm.edu/~gzhou,fOznM_YAAAAJ,\N
Ganga Bishnu Mund,Ganga Bishnu Mund,Ganga,Mund,KIIT Bhubaneswar,https://cse.kiit.ac.in/profiles/g-b-mund,J-4TB5EAAAAJ,Bishnu
Gangshan Wu,Gangshan Wu,Gangshan,Wu,Nanjing University,http://mcg.nju.edu.cn/member/gswu/en/index.html,NOSCHOLARPAGE,\N
Gao Cong,Gao Cong,Gao,Cong,Nanyang Technological University,https://www3.ntu.edu.sg/home/gaocong,WFFamJkAAAAJ,\N
Gaoli Wang,Gaoli Wang,Gaoli,Wang,East China Normal University,https://faculty.ecnu.edu.cn/_s43/wgl2/main.psp,E51NElcAAAAJ,\N
Gareth A. Conway,Gareth A. Conway,Gareth,Conway,Queen's University Belfast,https://www.qub.ac.uk/schools/eeecs/Connect/Staff/BusinessCard/?name=g.conway,hnYRpmsAAAAJ,A.
Gareth Tyson,Gareth Tyson,Gareth,Tyson,HKUST,http://www.eecs.qmul.ac.uk/~tysong,91hmRA0AAAAJ,\N
Gari D. Clifford,Gari D. Clifford,Gari,Clifford,Emory University,http://gdclifford.info/people/gari,VwYoZ6gAAAAJ,D.
Garimella Rama Murthy,Garimella Rama Murthy,Garimella,Murthy,IIIT Hyderabad,https://www.iiit.ac.in/people/faculty/ramamurthy,YUWS9LAAAAAJ,Rama
Garimella Ramamurthy,Garimella Ramamurthy,Garimella,Ramamurthy,IIIT Hyderabad,https://www.iiit.ac.in/people/faculty/ramamurthy,YUWS9LAAAAAJ,\N
Garreth W. Tigwell,Garreth W. Tigwell,Garreth,Tigwell,Rochester Institute of Technology,https://www.rit.edu/directory/gwtics-garreth-tigwell,It8_yJwAAAAJ,W.
Garrett E. Katz,Garrett E. Katz,Garrett,Katz,Syracuse University,http://web.ecs.syr.edu/~gkatz01,bHIqHwEAAAAJ,E.
Garrett S. Rose,Garrett S. Rose,Garrett,Rose,University of Tennessee,http://web.eecs.utk.edu/~grose4,Tn07pSYAAAAJ,S.
Garrison W. Cottrell,Garrison W. Cottrell,Garrison,Cottrell,Univ. of California - San Diego,https://cseweb.ucsd.edu/~gary,5Aut7EEAAAAJ,W.
Garry Marling,Garry Marling,Garry,Marling,University of Queensland,http://www.smi.uq.edu.au/user/203,NOSCHOLARPAGE,\N
Garvesh Raskutti,Garvesh Raskutti,Garvesh,Raskutti,University of Wisconsin - Madison,http://pages.cs.wisc.edu/~raskutti,NOSCHOLARPAGE,\N
Gary B. Wills,Gary B. Wills,Gary,Wills,University of Southampton,https://www.ecs.soton.ac.uk/people/gbw,cFiPgxcAAAAJ,B.
Gary Baumgartner,Gary Baumgartner,Gary,Baumgartner,University of Toronto,http://www.cs.toronto.edu/~gfb,NOSCHOLARPAGE,\N
Gary Bishop,Gary Bishop,Gary,Bishop,University of North Carolina,https://www.cs.unc.edu/~gb,VV48RpEAAAAJ,\N
Gary Clifford,Gary Clifford,Gary,Clifford,Emory University,http://gdclifford.info/people/gari,VwYoZ6gAAAAJ,\N
Gary Cottrell,Gary Cottrell,Gary,Cottrell,Univ. of California - San Diego,https://cseweb.ucsd.edu/~gary,5Aut7EEAAAAJ,\N
Gary D. Bader,Gary D. Bader,Gary,Bader,University of Toronto,http://baderlab.org,22M9eisAAAAJ,D.
Gary F. Pollice,Gary F. Pollice,Gary,Pollice,Worcester Polytechnic Institute,http://www.wpi.edu/academics/facultydir/gfp.html,NOSCHOLARPAGE,F.
Gary Geunbae Lee,Gary Geunbae Lee,Gary,Lee,POSTECH,http://nlp.postech.ac.kr/~gblee,t30saScAAAAJ,Geunbae
Gary Gréwal,Gary Gréwal,Gary,Gréwal,University of Guelph,http://www.uoguelph.ca/~ggrewal,NOSCHOLARPAGE,\N
Gary Hsieh,Gary Hsieh,Gary,Hsieh,University of Washington,http://faculty.washington.edu/garyhs,-hwb_2kAAAAJ,\N
Gary J. Minden,Gary J. Minden,Gary,Minden,University of Kansas,http://www.eecs.ku.edu/people/faculty/gminden,NOSCHOLARPAGE,J.
Gary K. Fedder,Gary K. Fedder,Gary,Fedder,Carnegie Mellon University,https://users.ece.cmu.edu/~fedder,JOMYt6gAAAAJ,K.
Gary L. Miller,Gary L. Miller,Gary,Miller,Carnegie Mellon University,https://www.cs.cmu.edu/~glmiller,umm-i20AAAAJ,L.
Gary Lee,Gary Lee 0001,Gary,Lee,POSTECH,http://nlp.postech.ac.kr/~gblee,t30saScAAAAJ,\N
Gary M. Carter,Gary M. Carter,Gary,Carter,Univ. of Maryland - Baltimore County,http://www.csee.umbc.edu/people/faculty/gary-m-carter,NOSCHOLARPAGE,M.
Gary S. H. Tan,Gary S. H. Tan,Gary,Tan,National University of Singapore,http://www.comp.nus.edu.sg/~gtan,3XI4ptoAAAAJ,S. H.
Gary T. Leavens,Gary T. Leavens,Gary,Leavens,University of Central Florida,http://www.cs.ucf.edu/~leavens/homepage.html,NuVArIYAAAAJ,T.
Gary Tan,Gary Tan,Gary,Tan,National University of Singapore,http://www.comp.nus.edu.sg/~gtan,3XI4ptoAAAAJ,\N
Gary Tyson,Gary Tyson,Gary,Tyson,Florida State University,http://www.cs.fsu.edu/~tyson,vC_bjb0gU4EC,\N
Gary W. Meyer,Gary W. Meyer,Gary,Meyer,University of Minnesota,http://umn.edu/home/meyer172,7P_WgjYAAAAJ,W.
Gary William Grewal,Gary William Grewal,Gary,Grewal,University of Guelph,http://www.uoguelph.ca/~ggrewal,NOSCHOLARPAGE,William
Gasper Tkacik,Gasper Tkacik,Gasper,Tkacik,IST Austria,https://gtkacik.pages.ist.ac.at,arjXIL8AAAAJ,\N
Gaurav Harit,Gaurav Harit,Gaurav,Harit,IIT Jodhpur,http://home.iitj.ac.in/~gharit,puzdkHAAAAAJ,\N
Gaurav S. Sukhatme,Gaurav S. Sukhatme,Gaurav,Sukhatme,University of Southern California,http://www-robotics.usc.edu/~gaurav,lRUi-A8AAAAJ,S.
Gaurav Sharma,Gaurav Sharma,Gaurav,Sharma,University of Rochester,https://hajim.rochester.edu/ece/sites/gsharma,OlsDoroAAAAJ,\N
Gaurav Varshney,Gaurav Varshney,Gaurav,Varshney,IIT Jammu,https://www.iitjammu.ac.in/computer_science_engineering/faculty-list/~gauravvarshney,AgLr5dcAAAAJ,\N
Gautam B. Singh,Gautam B. Singh,Gautam,Singh,Oakland University,http://secs.oakland.edu/~singh/Homepage/About_Me.html,NOSCHOLARPAGE,B.
Gautam Barua,Gautam Barua,Gautam,Barua,IIT Guwahati,https://www.iitg.ernet.in/gb,bKrYnrEAAAAJ,\N
Gautam Biswas,Gautam Biswas,Gautam,Biswas,Vanderbilt University,https://engineering.vanderbilt.edu/bio/?pid=gautam-biswas,-m5wrTkAAAAJ,\N
Gautam Chetan Kamath,Gautam Chetan Kamath,Gautam,Kamath,University of Waterloo,http://www.gautamkamath.com,MK6zHkYAAAAJ,Chetan
Gautam Das,Gautam Das 0001,Gautam,Das,University of Texas at Arlington,http://ranger.uta.edu/~gdas,oleB9xIAAAAJ,\N
Gautam Kamath,Gautam Kamath 0001,Gautam,Kamath,New York University,http://www.gautamkamath.com,MK6zHkYAAAAJ,\N
Gavin Brown,Gavin Brown 0001,Gavin,Brown,University of Manchester,https://www.research.manchester.ac.uk/portal/Gavin.Brown.html,bdugqKUAAAAJ,\N
Gavin Doherty,Gavin Doherty,Gavin,Doherty,Trinity College Dublin,https://www.scss.tcd.ie/Gavin.Doherty,vVG6H9AAAAAJ,\N
Gavin J. Doherty,Gavin J. Doherty,Gavin,Doherty,Trinity College Dublin,https://www.scss.tcd.ie/Gavin.Doherty,vVG6H9AAAAAJ,J.
Gavin Lowe,Gavin Lowe,Gavin,Lowe,University of Oxford,http://www.cs.ox.ac.uk/gavin.lowe,NOSCHOLARPAGE,\N
Gavin McArdle,Gavin McArdle,Gavin,McArdle,University College Dublin,https://people.ucd.ie/gavin.mcardle,07pHQ-IAAAAJ,\N
Gavriil Tsechpenakis,Gavriil Tsechpenakis,Gavriil,Tsechpenakis,IUPUI,http://cs.iupui.edu/people/gavriil-tsechpenakis,y7uuI7gAAAAJ,\N
Gavrill Tsechpenakis,Gavrill Tsechpenakis,Gavrill,Tsechpenakis,IUPUI,http://cs.iupui.edu/people/gavriil-tsechpenakis,y7uuI7gAAAAJ,\N
Gayane Vardoyan,Gayane Vardoyan,Gayane,Vardoyan,TU Delft,https://people.cs.umass.edu/~gvardoyan,iSt_oLcAAAAJ,\N
Gayathri Ananthanarayanan,Gayathri Ananthanarayanan,Gayathri,Ananthanarayanan,IIT Dharwad,https://homepages.iitdh.ac.in/~gayathri,yMWoQAEAAAAJ,\N
Gaye Stephens,Gaye Stephens,Gaye,Stephens,Trinity College Dublin,https://www.tcd.ie/research/profiles/?profile=gstephen,NOSCHOLARPAGE,\N
Ge Li,Ge Li 0001,Ge,Li,Peking University,http://sei.pku.edu.cn/~lige,NOSCHOLARPAGE,\N
Ge Wang,Ge Wang 0003,Ge,Wang,Xi'an Jiaotong University,http://gr.xjtu.edu.cn/web/gewang,ngEGALwAAAAJ,\N
Geber L. Ramalho,Geber L. Ramalho,Geber,Ramalho,UFPE,https://www.cin.ufpe.br/~glr,U970EO4AAAAJ,L.
Gedare Bloom,Gedare Bloom,Gedare,Bloom,UCCS,https://gedare.github.io,8ZBnSl4AAAAJ,\N
Gedas Bertasius,Gedas Bertasius,Gedas,Bertasius,University of North Carolina,https://cs.unc.edu/person/gedas-bertasius,8FWkjw8AAAAJ,\N
Geehyuk Lee,Geehyuk Lee,Geehyuk,Lee,KAIST,http://hcil.kaist.ac.kr/?page_id=349,wBXkmcQAAAAJ,\N
Geert De Maere,Geert De Maere,Geert,Maere,University of Nottingham,https://www.nottingham.ac.uk/computerscience/people/geert.de_maere,gS6tO4YAAAAJ,De
Geert-Jan Houben,Geert-Jan Houben,Geert-Jan,Houben,TU Delft,http://www.wis.ewi.tudelft.nl/houben,7SLMWEcAAAAJ,\N
Geevarghese Philip,Geevarghese Philip,Geevarghese,Philip,CMI,http://www.cmi.ac.in/~gphilip,3QM3vr4AAAAJ,\N
Geguang Pu,Geguang Pu,Geguang,Pu,East China Normal University,https://faculty.ecnu.edu.cn/_s43/pgg/main.psp,niQAGcQAAAAJ,\N
Geir E. Dullerud,Geir E. Dullerud,Geir,Dullerud,Univ. of Illinois at Urbana-Champaign,https://mechanical.illinois.edu/directory/faculty/dullerud,afhaKpYAAAAJ,E.
Gemma Roig,Gemma Roig,Gemma,Roig,Goethe University Frankfurt,http://www.cvai.cs.uni-frankfurt.de/team.html,6MjMhT4AAAAJ,\N
Gen-Huey Chen,Gen-Huey Chen,Gen-Huey,Chen,National Taiwan University,http://www.csie.ntu.edu.tw/~ghchen,NOSCHOLARPAGE,\N
Gena Hahn,Gena Hahn,Gena,Hahn,University of Montreal,http://www.iro.umontreal.ca/~hahn,NOSCHOLARPAGE,\N
Genaína Nunes Rodrigues,Genaína Nunes Rodrigues,Genaína,Rodrigues,Universidade de Brasília,http://cic.unb.br/~genaina,qCUFz5AAAAAJ,Nunes
Gene Cooperman,Gene Cooperman,Gene,Cooperman,Northeastern University,http://www.ccs.neu.edu/home/gene,A9tBw58AAAAJ,\N
Gene Louis Kim,Gene Louis Kim,Gene,Kim,University of South Florida,https://cse.usf.edu/~genekim,9jFmOukAAAAJ,Louis
Gene Michael Poor,Gene Michael Poor,Gene,Poor,Baylor University,https://www.ecs.baylor.edu/index.php?id=961977,NOSCHOLARPAGE,Michael
Gene Spafford,Gene Spafford,Gene,Spafford,Purdue University,https://spaf.cerias.purdue.edu,MkC5kHcAAAAJ,\N
Gene Tsudik,Gene Tsudik,Gene,Tsudik,Univ. of California - Irvine,http://www.ics.uci.edu/~gts,WLvuu74AAAAJ,\N
Geng Hong,Geng Hong,Geng,Hong,Fudan University,https://ghong.site,XgBZfiUAAAAJ,\N
Geng Wang,Geng Wang,Geng,Wang,Shanghai Jiao Tong University,http://www.se.sjtu.edu.cn/teacher/teacherdetail.aspx?id=25,4mKWajkAAAAJ,\N
Geng Yuan,Geng Yuan,Geng,Yuan,University of Georgia,https://geng-yuan.com,tBIAgtgAAAAJ,\N
Genghui Li,Genghui Li,Genghui,Li,Shenzhen University,https://www.scholat.com/genghuili,3WixDRMAAAAJ,\N
Gennady L. Andrienko,Gennady L. Andrienko,Gennady,Andrienko,City University of London,https://www.city.ac.uk/people/academics/gennady-andrienko,R370BREAAAAJ,L.
Gennady Pekhimenko,Gennady Pekhimenko,Gennady,Pekhimenko,University of Toronto,http://www.cs.toronto.edu/~pekhimenko,ZgqVLuMAAAAJ,\N
Gennaro Costagliola,Gennaro Costagliola,Gennaro,Costagliola,University of Salerno,http://www.unisa.it/docenti/gennarocostagliola/en/index,j2roIOUAAAAJ,\N
Gennaro Parlato,Gennaro Parlato,Gennaro,Parlato,University of Molise,http://docenti.unimol.it/index.php?u=gennaro.parlato,qH4ssmQAAAAJ,\N
Gennaro Percannella,Gennaro Percannella,Gennaro,Percannella,University of Salerno,http://mivia.unisa.it/people/percannella,Uhn4uusAAAAJ,\N
Genny Tortora,Genny Tortora,Genny,Tortora,University of Salerno,http://www.unisa.it/docenti/genoveffatortora/index,NOSCHOLARPAGE,\N
Genoveffa Tortora,Genoveffa Tortora,Genoveffa,Tortora,University of Salerno,http://www.unisa.it/docenti/genoveffatortora/index,NOSCHOLARPAGE,\N
Geoff Bowker,Geoff Bowker,Geoff,Bowker,Univ. of California - Irvine,http://www.ics.uci.edu/~gbowker,NOSCHOLARPAGE,\N
Geoff F. Kaufman,Geoff F. Kaufman,Geoff,Kaufman,Carnegie Mellon University,https://www.hcii.cmu.edu/people/geoff-kaufman,acfjWDAAAAAJ,F.
Geoff Holmes,Geoff Holmes 0001,Geoff,Holmes,University of Waikato,https://www.cms.waikato.ac.nz/people/geoff,0rwvyVEAAAAJ,\N
Geoff Kaufman,Geoff Kaufman,Geoff,Kaufman,Carnegie Mellon University,https://www.hcii.cmu.edu/people/geoff-kaufman,acfjWDAAAAAJ,\N
Geoff Leach,Geoff Leach,Geoff,Leach,RMIT University,https://www.rmit.edu.au/contact/staff-contacts/academic-staff/l/leach-mr-geoff,5RrkpIQAAAAJ,\N
Geoff Nitschke,Geoff Nitschke,Geoff,Nitschke,University of Cape Town,https://people.cs.uct.ac.za/~gnitschke,jgX5HxoAAAAJ,\N
Geoff S. Nitschke,Geoff S. Nitschke,Geoff,Nitschke,University of Cape Town,https://people.cs.uct.ac.za/~gnitschke,jgX5HxoAAAAJ,S.
Geoff Sutcliffe,Geoff Sutcliffe,Geoff,Sutcliffe,University of Miami,http://www.cs.miami.edu/~geoff,lzMFBvQAAAAJ,\N
Geoff V. Merrett,Geoff V. Merrett,Geoff,Merrett,University of Southampton,https://www.ecs.soton.ac.uk/people/gm1r07,rKw0hb8AAAAJ,V.
Geoff Voelker,Geoff Voelker,Geoff,Voelker,Univ. of California - San Diego,http://cseweb.ucsd.edu/~voelker,ZfDtNpUAAAAJ,\N
Geoff Webb,Geoff Webb,Geoff,Webb,Monash University,http://i.giwebb.com,NOSCHOLARPAGE,\N
Geoff Wyvill,Geoff Wyvill,Geoff,Wyvill,University of Otago,http://www.cs.otago.ac.nz/staff/Geoff_Wyvill,NOSCHOLARPAGE,\N
Geoffrey Brown,Geoffrey Brown,Geoffrey,Brown,Indiana University,http://homes.soic.indiana.edu/geobrown,PrxFp1MAAAAJ,\N
Geoffrey C. Bowker,Geoffrey C. Bowker,Geoffrey,Bowker,Univ. of California - Irvine,http://www.ics.uci.edu/~gbowker,NOSCHOLARPAGE,C.
Geoffrey C. Fox,Geoffrey C. Fox,Geoffrey,Fox,University of Virginia,https://engineering.virginia.edu/faculty/geoffrey-c-fox,dJ-fD-sAAAAJ,C.
Geoffrey Challen,Geoffrey Challen,Geoffrey,Challen,University at Buffalo,https://blue.cse.buffalo.edu/people/gwa,lR34_8YAAAAJ,\N
Geoffrey G. Xie,Geoffrey G. Xie,Geoffrey,Xie,Naval Postgraduate School,http://faculty.nps.edu/xie,kEM42bEAAAAJ,G.
Geoffrey Holmes,Geoffrey Holmes 0001,Geoffrey,Holmes,University of Waikato,https://www.cms.waikato.ac.nz/people/geoff,0rwvyVEAAAAJ,\N
Geoffrey I. Webb,Geoffrey I. Webb,Geoffrey,Webb,Monash University,http://i.giwebb.com,NOSCHOLARPAGE,I.
Geoffrey J. Gordon,Geoffrey J. Gordon,Geoffrey,Gordon,Carnegie Mellon University,http://www.cs.cmu.edu/~ggordon,0OY5L3UAAAAJ,J.
Geoffrey M. Voelker,Geoffrey M. Voelker,Geoffrey,Voelker,Univ. of California - San Diego,http://cseweb.ucsd.edu/~voelker,ZfDtNpUAAAAJ,M.
Geoffrey Mainland,Geoffrey Mainland,Geoffrey,Mainland,Drexel University,https://www.cs.drexel.edu/~mainland,jjWDm9wAAAAJ,\N
Geoffrey S. Smith,Geoffrey S. Smith,Geoffrey,Smith,Florida International University,http://www.cis.fiu.edu/~smithg,OCmc_bYAAAAJ,S.
Geoffrey Smith,Geoffrey Smith,Geoffrey,Smith,Florida International University,http://www.cis.fiu.edu/~smithg,OCmc_bYAAAAJ,\N
Geoffrey Werner Challen,Geoffrey Werner Challen,Geoffrey,Challen,University at Buffalo,https://blue.cse.buffalo.edu/people/gwa,lR34_8YAAAAJ,Werner
Georg Carle,Georg Carle,Georg,Carle,TU Munich,https://www.net.in.tum.de/members/carle,l5xqmTIAAAAJ,\N
Georg Danzl,Georg Danzl,Georg,Danzl,IST Austria,http://ist.ac.at/research/physical-sciences/danzl-group,NOSCHOLARPAGE,\N
Georg Fuchsbauer,Georg Fuchsbauer,Georg,Fuchsbauer,TU Wien,http://www.di.ens.fr/~fuchsbau,CxHsVWwAAAAJ,\N
Georg Gottlob,Georg Gottlob,Georg,Gottlob,University of Oxford,https://www.cs.ox.ac.uk/people/georg.gottlob,i72_SkUAAAAJ,\N
Georg Groh,Georg Groh,Georg,Groh,TU Munich,https://www.professoren.tum.de/en/groh-georg,aTPKRO0AAAAJ,\N
Georg Klinker,Georg Klinker,Georg,Klinker,TU Munich,https://www.lis.ei.tum.de/en/persons/management/stechele,NOSCHOLARPAGE,\N
Georg Lausen,Georg Lausen,Georg,Lausen,University of Freiburg,http://dbis.informatik.uni-freiburg.de/team/lausen/georg,wzKbqkcAAAAJ,\N
Georg Martius,Georg Martius,Georg,Martius,University of Tübingen,https://is.mpg.de/person/gmartius,b-JF-UIAAAAJ,\N
Georg Moser,Georg Moser,Georg,Moser,University of Innsbruck,https://tcs-informatik.uibk.ac.at,nT0BZ_AAAAAJ,\N
Georg Schnitger,Georg Schnitger,Georg,Schnitger,Goethe University Frankfurt,http://www.thi.informatik.uni-frankfurt.de/team/gschnitger,NOSCHOLARPAGE,\N
Georg Seelig,Georg Seelig,Georg,Seelig,University of Washington,https://homes.cs.washington.edu/~seelig,Nf4G12YAAAAJ,\N
Georg Stadler,Georg Stadler,Georg,Stadler,New York University,https://math.nyu.edu/~stadler,pTbnj1IAAAAJ,\N
Georg Struth,Georg Struth,Georg,Struth,University of Sheffield,https://www.sheffield.ac.uk/dcs/people/academic/georg-struth,lgsk1IoAAAAJ,\N
Georg Weissenbacher,Georg Weissenbacher,Georg,Weissenbacher,TU Wien,http://www.georg.weissenbacher.science,1KfaH-QAAAAJ,\N
Georg Zetzsche [SWS],Georg Zetzsche [SWS],Georg,[SWS],Max Planck Society,http://zetzsche.xyz,BHNdXKxbM-8C,Zetzsche
George A. Dafoulas,George A. Dafoulas,George,Dafoulas,Middlesex University,http://www.cs.mdx.ac.uk/people/george-dafoulas,NOSCHOLARPAGE,A.
George A. Tsihrintzis,George A. Tsihrintzis,George,Tsihrintzis,University of Piraeus,https://www.unipi.gr/unipi/en/geoatsi.html,QUC1ebEAAAAJ,A.
George A. Vouros,George A. Vouros,George,Vouros,University of Piraeus,https://www.ds.unipi.gr/en/faculty/georgev-en,NOSCHOLARPAGE,A.
George Alex Koulieris,George Alex Koulieris,George,Koulieris,Durham University,https://www.dur.ac.uk/computer.science/staff/profile/?id=17133,NWZ7UJUAAAAJ,Alex
George Amvrosiadis,George Amvrosiadis,George,Amvrosiadis,Carnegie Mellon University,http://www.ece.cmu.edu/~gamvrosi,ygiY7C8AAAAJ,\N
George B. Mertzios,George B. Mertzios,George,Mertzios,Durham University,https://www.dur.ac.uk/computer.science/staff/profile/?id=9703,61cu4UMAAAAJ,B.
George B. Purdy,George B. Purdy,George,Purdy,University of Cincinnati,https://etd.ohiolink.edu/!etd.send_file?accession=ucin1140802889&disposition=inline,NOSCHOLARPAGE,B.
George Bebis,George Bebis,George,Bebis,University of Nevada,https://www.cse.unr.edu/~bebis,-uRoVEUAAAAJ,\N
George Berg,George Berg,George,Berg,University at Albany - SUNY,https://www.albany.edu/ceas/george-berg.php,NOSCHOLARPAGE,\N
George Buchanan,George Buchanan 0001,George,Buchanan,University of Melbourne,https://findanexpert.unimelb.edu.au/display/person793596,HPbkM6YAAAAJ,\N
George C. Necula,George C. Necula,George,Necula,Univ. of California - Berkeley,http://www.cs.berkeley.edu/~necula,_fiHvDAAAAAJ,C.
George C. Papen,George C. Papen,George,Papen,Univ. of California - San Diego,https://profiles.ucsd.edu/george.papen,NOSCHOLARPAGE,C.
George C. Polyzos,George C. Polyzos,George,Polyzos,AUEB,http://niovi.aueb.gr/~gcp,y-Mxxa0AAAAJ,C.
George Candea,George Candea,George,Candea,EPFL,http://dslab.epfl.ch/people/candea,Yd-SGH8AAAAJ,\N
George Chailos,George Chailos,George,Chailos,University of Nicosia,https://www.unic.ac.cy/chailos-george,PREG268AAAAJ,\N
George Christodoulou,George Christodoulou 0001,George,Christodoulou,University of Liverpool,https://cgi.csc.liv.ac.uk/~gchristo,QRIaADsAAAAJ,\N
George D. C. Cavalcanti,George D. C. Cavalcanti,George,Cavalcanti,UFPE,http://www.cin.ufpe.br/~gdcc,0dSAy8IAAAAJ,D. C.
George D. Magoulas,George D. Magoulas,George,Magoulas,Birkbeck University of London,https://www.dcs.bbk.ac.uk/about/people/academic-staff/gmagoulas,AJ4xClEAAAAJ,D.
George D. Stamoulis,George D. Stamoulis,George,Stamoulis,AUEB,http://nes.aueb.gr/users/gs.html,5uRFCLsAAAAJ,D.
George Dimitri Konidaris,George Dimitri Konidaris,George,Konidaris,Brown University,http://cs.brown.edu/people/gdk,9UERvVEAAAAJ,Dimitri
George E. Nasr,George E. Nasr,George,Nasr,Lebanese American University,http://www.lau.edu.lb/about/governance-policies/executive-officers/george-nasr.php,S9yBpOMAAAAJ,E.
George F. Pinder,George F. Pinder,George,Pinder,University of Vermont,http://www.uvm.edu/~cems/?Page=employee/profile.php&SM=employee/_employeemenu.html&EmID=18,NOSCHOLARPAGE,F.
George Fletcher,George Fletcher,George,Fletcher,TU Eindhoven,http://www.win.tue.nl/~gfletche,87TyXPcAAAAJ,\N
George Georgakopoulos,George Georgakopoulos,George,Georgakopoulos,University of Crete,https://www.csd.uoc.gr,NOSCHOLARPAGE,\N
George Ghinea,George Ghinea,George,Ghinea,Brunel University London,https://www.brunel.ac.uk/people/george-ghinea,k-Q6RlEAAAAJ,\N
