clean_name,full_name,first_name,surname,affiliation,homepage,scholar,middle_name
Phokion G. Kolaitis,Phokion G. Kolaitis,Phokion,Kolaitis,Univ. of California - Santa Cruz,https://users.soe.ucsc.edu/~kolaitis,Lu7biGYAAAAJ,G.
Phone Lin,Phone Lin,Phone,Lin,National Taiwan University,https://www.csie.ntu.edu.tw/~plin,NOSCHOLARPAGE,\N
Phong Nguyen,Phong Nguyen,Phong,Nguyen,Ecole Normale Superieure,http://www.di.ens.fr/~pnguyen,hnS8fnUAAAAJ,\N
Phu Dung Le,Phu Dung Le,Phu,Le,Monash University,http://monash.edu/research/explore/en/persons/phu-le(7745eb6e-9b22-4d68-b566-116bc0280aa8).html,NOSCHOLARPAGE,Dung
Phuc Nguyen,Phuc Nguyen 0002,Phuc,Nguyen,University of Massachusetts Amherst,http://wsslab.org/vpnguyen,pBf2M3QAAAAJ,\N
Phyllis G. Frankl,Phyllis G. Frankl,Phyllis,Frankl,New York University,http://engineering.nyu.edu/people/phyllis-frankl,XE683E8AAAAJ,G.
Pier Luca Lanzi,Pier Luca Lanzi,Pier,Lanzi,Politecnico di Milano,http://home.deib.polimi.it/lanzi,APNDyx0AAAAJ,Luca
Pierluigi Crescenzi,Pierluigi Crescenzi,Pierluigi,Crescenzi,GSSI,http://pilucrescenzi.it/wp,AXhF-boAAAAJ,\N
Pierluigi Nuzzo,Pierluigi Nuzzo,Pierluigi,Nuzzo,University of Southern California,https://descyphy.usc.edu,GsDdaaYAAAAJ,\N
Pierluigi Plebani,Pierluigi Plebani,Pierluigi,Plebani,Politecnico di Milano,http://home.deib.polimi.it/plebani,FUdUWB4AAAAJ,\N
Pierluigi Ritrovato,Pierluigi Ritrovato,Pierluigi,Ritrovato,University of Salerno,http://docenti.unisa.it/003741/home,fWjvqKQAAAAJ,\N
Pierluigi Sanpietro,Pierluigi Sanpietro,Pierluigi,Sanpietro,Politecnico di Milano,http://home.deib.polimi.it/sanpietr,LfWwZTUAAAAJ,\N
Piero Fraternali,Piero Fraternali,Piero,Fraternali,Politecnico di Milano,http://home.deib.polimi.it/fraterna,IhFm8bIAAAAJ,\N
Pierpaolo Degano,Pierpaolo Degano,Pierpaolo,Degano,University of Pisa,http://www.di.unipi.it/~degano,NOSCHOLARPAGE,\N
Pierre Baldi,Pierre Baldi,Pierre,Baldi,Univ. of California - Irvine,http://www.igb.uci.edu/~pfbaldi,RhFhIIgAAAAJ,\N
Pierre Boulanger,Pierre Boulanger,Pierre,Boulanger,University of Alberta,https://webdocs.cs.ualberta.ca/~pierreb,27IhNIMAAAAJ,\N
Pierre Boulet,Pierre Boulet,Pierre,Boulet,CRIStAL,https://www.cristal.univ-lille.fr/profil/boulet,gzy0ay0AAAAJ,\N
Pierre Bourhis,Pierre Bourhis,Pierre,Bourhis,CRIStAL,http://cristal.univ-lille.fr/~bourhis,yykk3JMAAAAJ,\N
Pierre Chavel,Pierre Chavel,Pierre,Chavel,Université Jean Monnet,https://laboratoirehubertcurien.univ-st-etienne.fr/en/the-lab/staff.html,Bz_uDOUAAAAJ,\N
Pierre Clairambault,Pierre Clairambault,Pierre,Clairambault,Ecole Normale Superieure de Lyon,http://perso.ens-lyon.fr/pierre.clairambault,hEYmcxwAAAAJ,\N
Pierre Dillenbourg,Pierre Dillenbourg,Pierre,Dillenbourg,EPFL,https://people.epfl.ch/pierre.dillenbourg,1m1CqEEAAAAJ,\N
Pierre Flener,Pierre Flener,Pierre,Flener,Uppsala University,http://user.it.uu.se/~pierref,5PG6ZdwAAAAJ,\N
Pierre Fortin,Pierre Fortin 0001,Pierre,Fortin,CRIStAL,https://pro.univ-lille.fr/pierre-fortin,NOSCHOLARPAGE,\N
Pierre Ganty,Pierre Ganty,Pierre,Ganty,IMDEA Software Institute,http://software.imdea.org/people/pierre.ganty,j8fTqW0AAAAJ,\N
Pierre Kelsen,Pierre Kelsen,Pierre,Kelsen,University of Luxembourg,http://wwwen.uni.lu/snt/people/pierre_kelsen,WpY_eHMAAAAJ,\N
Pierre L'Ecuyer,Pierre L'Ecuyer,Pierre,L'Ecuyer,University of Montreal,http://www.iro.umontreal.ca/~lecuyer,gDxovowAAAAJ,\N
Pierre Laperdrix,Pierre Laperdrix,Pierre,Laperdrix,CRIStAL,https://plaperdr.github.io,hcXaYRAAAAAJ,\N
Pierre Lescanne,Pierre Lescanne,Pierre,Lescanne,Ecole Normale Superieure de Lyon,https://perso.ens-lyon.fr/pierre.lescanne,qHwV3cYAAAAJ,\N
Pierre Maret,Pierre Maret,Pierre,Maret,Université Jean Monnet,http://perso.univ-st-etienne.fr/mapi9921,kQTwSFcAAAAJ,\N
Pierre McKenzie,Pierre McKenzie,Pierre,McKenzie,University of Montreal,http://www.iro.umontreal.ca/~mckenzie,fA1ZOmMAAAAJ,\N
Pierre Olivier,Pierre Olivier,Pierre,Olivier,University of Manchester,https://sites.google.com/view/pierreolivier,rBr5a7UAAAAJ,\N
Pierre Payeur,Pierre Payeur,Pierre,Payeur,University of Ottawa,http://www.site.uottawa.ca/~ppayeur,NOSCHOLARPAGE,\N
Pierre Poulin,Pierre Poulin,Pierre,Poulin,University of Montreal,http://www.iro.umontreal.ca/~poulin,al5P0bAAAAAJ,\N
Pierre Tirilly,Pierre Tirilly,Pierre,Tirilly,CRIStAL,https://sites.google.com/site/tirillypierre/home,CKGKuOAAAAAJ,\N
Pierre Vandergheynst,Pierre Vandergheynst,Pierre,Vandergheynst,EPFL,https://people.epfl.ch/pierre.vandergheynst,1p9NOFEAAAAJ,\N
Pierre-Emmanuel Gaillardon,Pierre-Emmanuel Gaillardon,Pierre-Emmanuel,Gaillardon,University of Utah,https://faculty.utah.edu/u6001662-PIERRE-EMMANUEL_GAILLARDON/research/index.hml,Hlc_2eEAAAAJ,\N
Pierre-Louis Bellec,Pierre-Louis Bellec,Pierre-Louis,Bellec,University of Montreal,http://diro.umontreal.ca/repertoire-departement/vue/bellec-pierre-louis,NOSCHOLARPAGE,\N
Pierre-Luc Bacon,Pierre-Luc Bacon,Pierre-Luc,Bacon,University of Montreal,http://pierrelucbacon.com,9H77FYYAAAAJ,\N
Pierre-Marc Jodoin,Pierre-Marc Jodoin,Pierre-Marc,Jodoin,Université de Sherbrooke,https://www.usherbrooke.ca/informatique/personnel/corps-professoral/professeurs/pierre-marc-jodoin,JM9-OOsAAAAJ,\N
Pieter Abbeel,Pieter Abbeel,Pieter,Abbeel,Univ. of California - Berkeley,https://people.eecs.berkeley.edu/~pabbeel,vtwH6GkAAAAJ,\N
Pieter Collins,Pieter Collins,Pieter,Collins,Maastricht University,https://dke.maastrichtuniversity.nl/pieter.collins,0p5ZVqsAAAAJ,\N
Pieter H. M. Spronck,Pieter H. M. Spronck,Pieter,Spronck,Tilburg University,https://www.tilburguniversity.edu/webwijs/show/p.spronck.htm,sB4vyswAAAAJ,H. M.
Pieter J. Collins,Pieter J. Collins,Pieter,Collins,Maastricht University,https://dke.maastrichtuniversity.nl/pieter.collins,0p5ZVqsAAAAJ,J.
Pieter J. L. Cuijpers,Pieter J. L. Cuijpers,Pieter,Cuijpers,TU Eindhoven,https://www.tue.nl/en/university/departments/mathematics-and-computer-science/the-department/staff/detail/ep/e/d/ep-uid/19940165,NOSCHOLARPAGE,J. L.
Pieter J. Toussaint,Pieter J. Toussaint,Pieter,Toussaint,NTNU,https://www.ntnu.edu/employees/pieter,NOSCHOLARPAGE,J.
Pieter Peers,Pieter Peers,Pieter,Peers,College of William and Mary,http://www.cs.wm.edu/~ppeers,We8Oy0EAAAAJ,\N
Pieter Spronck,Pieter Spronck,Pieter,Spronck,Tilburg University,https://www.tilburguniversity.edu/webwijs/show/p.spronck.htm,sB4vyswAAAAJ,\N
Pieter W. M. Koopman,Pieter W. M. Koopman,Pieter,Koopman,Radboud University,http://www.cs.ru.nl/~pieter,LZNqOaEAAAAJ,W. M.
Pietro Bonizzi,Pietro Bonizzi,Pietro,Bonizzi,Maastricht University,https://www.maastrichtuniversity.nl/pietro.bonizzi,Y-zKXgsAAAAJ,\N
Pietro Cenciarelli,Pietro Cenciarelli,Pietro,Cenciarelli,Sapienza University of Rome,http://wwwusers.di.uniroma1.it/~cencia,NOSCHOLARPAGE,\N
Pietro Lio,Pietro Lio,Pietro,Lio,University of Cambridge,https://www.cl.cam.ac.uk/~pl219,3YrWf7EAAAAJ,\N
Pietro Lio',Pietro Lio',Pietro,Lio',University of Cambridge,https://www.cl.cam.ac.uk/~pl219,3YrWf7EAAAAJ,\N
Pietro Liò,Pietro Liò,Pietro,Liò,University of Cambridge,https://www.cl.cam.ac.uk/~pl219,3YrWf7EAAAAJ,\N
Pietro Lió,Pietro Lió,Pietro,Lió,University of Cambridge,https://www.cl.cam.ac.uk/~pl219,3YrWf7EAAAAJ,\N
Pietro Michiardi,Pietro Michiardi,Pietro,Michiardi,EURECOM,http://www.eurecom.fr/~michiard,mlx1eCgAAAAJ,\N
Pietro Perona,Pietro Perona,Pietro,Perona,California Institute of Technology,https://www.vision.caltech.edu/Perona.html,j29kMCwAAAAJ,\N
Pietro S. Oliveto,Pietro S. Oliveto,Pietro,Oliveto,University of Sheffield,https://www.sheffield.ac.uk/dcs/people/academic/pietro-oliveto,dGRqOi0AAAAJ,S.
Pilu Crescenzi,Pilu Crescenzi,Pilu,Crescenzi,GSSI,http://pilucrescenzi.it/wp,AXhF-boAAAAJ,\N
Pin Tao,Pin Tao,Pin,Tao,Tsinghua University,http://www.cs.tsinghua.edu.cn/publish/csen/4623/2010/20101224173206168406028/20101224173206168406028_.html,NOSCHOLARPAGE,\N
Pinaki Mazumder,Pinaki Mazumder,Pinaki,Mazumder,University of Michigan,http://web.eecs.umich.edu/~mazum,8knozEkAAAAJ,\N
Pinaki Mitra,Pinaki Mitra,Pinaki,Mitra,IIT Guwahati,http://www.iitg.ernet.in/pinaki,ZVxC1rB3vXEC,\N
Pinaki Sankar Chatterjee,Pinaki Sankar Chatterjee,Pinaki,Chatterjee,KIIT Bhubaneswar,https://cse.kiit.ac.in/profiles/pinaki-sankar-chatterjee,FYcOYZkAAAAJ,Sankar
Pinakpani Pal,Pinakpani Pal,Pinakpani,Pal,ISI Kolkata,https://www.isical.ac.in/~pinak,J26Wmf0AAAAJ,\N
Pinar Duygulu,Pinar Duygulu,Pinar,Duygulu,Hacettepe University,https://web.cs.hacettepe.edu.tr/~pinar,1KEMrHkAAAAJ,\N
Pinar Duygulu Sahin,Pinar Duygulu Sahin,Pinar,Sahin,Hacettepe University,https://web.cs.hacettepe.edu.tr/~pinar,1KEMrHkAAAAJ,Duygulu
Pinar Heggernes,Pinar Heggernes,Pinar,Heggernes,University of Bergen,http://www.ii.uib.no/~pinar,NOSCHOLARPAGE,\N
Pinar Karagoz,Pinar Karagoz,Pinar,Karagoz,Middle East Technical University,http://user.ceng.metu.edu.tr/~karagoz,u3r3gJIAAAAJ,\N
Pinar Karagöz,Pinar Karagöz,Pinar,Karagöz,Middle East Technical University,http://user.ceng.metu.edu.tr/~karagoz,u3r3gJIAAAAJ,\N
Pinar Senkul,Pinar Senkul,Pinar,Senkul,Middle East Technical University,http://user.ceng.metu.edu.tr/~karagoz,u3r3gJIAAAAJ,\N
Pinar Tözün,Pinar Tözün,Pinar,Tözün,IT University of Copenhagen,https://pure.itu.dk/portal/en/persons/pinar-toezun(63342b24-28ec-40c5-a7d9-ec49867dc75d).html,JTmMb3kAAAAJ,\N
Pinar Yolum,Pinar Yolum,Pinar,Yolum,Utrecht University,https://www.uu.nl/staff/PYolumBirbil,lbdyKlYAAAAJ,\N
Pinar Öztürk,Pinar Öztürk,Pinar,Öztürk,NTNU,https://www.ntnu.edu/employees/pinar,wL7HNLsAAAAJ,\N
Ping Ji,Ping Ji 0002,Ping,Ji,CUNY,http://jjcweb.jjay.cuny.edu/pji,tQiUbtEAAAAJ,\N
Ping Kuang,Ping Kuang,Ping,Kuang,UESTC,https://www.is.uestc.edu.cn/teachers.do?id=1067,NOSCHOLARPAGE,\N
Ping Luo,Ping Luo 0001,Ping,Luo,Chinese Academy of Sciences,http://mldm.ict.ac.cn/MLDM/luoping,d5L-OV4AAAAJ,\N
Ping Luo,Ping Luo 0002,Ping,Luo,University of Hong Kong,http://luoping.me,aXdjxb4AAAAJ,\N
Ping Sun,Ping Sun,Ping,Sun,Tongji University,https://sse.tongji.edu.cn/Data/View/2831,NOSCHOLARPAGE,\N
Ping Wang,Ping Wang,Ping,Wang,Nanyang Technological University,http://www3.ntu.edu.sg/home/wangping,uRLYksAAAAAJ,\N
